x_comp,std_u_comp
0.08415,0.0561569
0.0843,0.0561096
0.08445,0.0560948
0.0846,0.0561126
0.08475,0.0561304
0.0849,0.0561482
0.08505,0.056166
0.0852,0.0561838
0.08535,0.0562016
0.0855,0.0562193
0.08565,0.0562371
0.0858,0.0562549
0.08595,0.0562727
0.0861,0.0562905
0.08625,0.0563083
0.0864,0.0563261
0.08655,0.0563439
0.0867,0.0563617
0.08685,0.0563795
0.087,0.0563973
0.08715,0.0564151
0.0873,0.0564328
0.08745,0.0564506
0.0876,0.0564684
0.08775,0.0564862
0.0879,0.056504
0.08805,0.0565218
0.0882,0.0565396
0.08835,0.0565574
0.0885,0.0565752
0.08865,0.056593
0.0888,0.0566108
0.08895,0.0566286
0.0891,0.0566516
0.08925,0.0566904
0.0894,0.0567293
0.08955,0.0567681
0.0897,0.0568069
0.08985,0.0568458
0.09,0.0568846
0.09015,0.0569234
0.0903,0.0569622
0.09045,0.0570011
0.0906,0.0570399
0.09075,0.0570787
0.0909,0.0571176
0.09105,0.0571564
0.0912,0.0571952
0.09135,0.057234
0.0915,0.0572729
0.09165,0.0573117
0.0918,0.0573505
0.09195,0.0573894
0.0921,0.0574282
0.09225,0.057467
0.0924,0.0575058
0.09255,0.0575447
0.0927,0.0575835
0.09285,0.0576223
0.093,0.0576612
0.09315,0.0577
0.0933,0.0577388
0.09345,0.0577777
0.0936,0.0578165
0.09375,0.0578553
0.0939,0.0578873
0.09405,0.0579194
0.0942,0.0579514
0.09435,0.0579834
0.0945,0.0580155
0.09465,0.0580475
0.0948,0.0580795
0.09495,0.0581116
0.0951,0.0581436
0.09525,0.0581756
0.0954,0.0582076
0.09555,0.0582397
0.0957,0.0582717
0.09585,0.0583037
0.096,0.0583358
0.09615,0.0583678
0.0963,0.0583998
0.09645,0.0584319
0.0966,0.0584639
0.09675,0.0584959
0.0969,0.058528
0.09705,0.05856
0.0972,0.058592
0.09735,0.058624
0.0975,0.0586561
0.09765,0.0586881
0.0978,0.0587201
0.09795,0.0587522
0.0981,0.0587842
0.09825,0.0588162
0.0984,0.0588483
0.09855,0.0588629
0.0987,0.0588717
0.09885,0.0588805
0.099,0.0588894
0.09915,0.0588982
0.0993,0.058907
0.09945,0.0589158
0.0996,0.0589246
0.09975,0.0589335
0.0999,0.0589423
0.10005,0.0589511
0.1002,0.0589599
0.10035,0.0589687
0.1005,0.0589776
0.10065,0.0589864
0.1008,0.0589952
0.10095,0.059004
0.1011,0.0590129
0.10125,0.0590217
0.1014,0.0590305
0.10155,0.0590393
0.1017,0.0590481
0.10185,0.059057
0.102,0.0590658
0.10215,0.0590746
0.1023,0.0590834
0.10245,0.0590922
0.1026,0.0591011
0.10275,0.0591099
0.1029,0.0591187
0.10305,0.0591275
0.1032,0.0591258
0.10335,0.0591136
0.1035,0.0591013
0.10365,0.0590891
0.1038,0.0590769
0.10395,0.0590646
0.1041,0.0590524
0.10425,0.0590401
0.1044,0.0590279
0.10455,0.0590157
0.1047,0.0590034
0.10485,0.0589912
0.105,0.0589789
0.10515,0.0589667
0.1053,0.0589545
0.10545,0.0589422
0.1056,0.05893
0.10575,0.0589177
0.1059,0.0589055
0.10605,0.0588933
0.1062,0.058881
0.10635,0.0588688
0.1065,0.0588565
0.10665,0.0588443
0.1068,0.0588321
0.10695,0.0588198
0.1071,0.0588076
0.10725,0.0587953
0.1074,0.0587831
0.10755,0.0587709
0.1077,0.0587586
0.10785,0.058737
0.108,0.0586873
0.10815,0.0586377
0.1083,0.058588
0.10845,0.0585383
0.1086,0.0584886
0.10875,0.058439
0.1089,0.0583893
0.10905,0.0583396
0.1092,0.05829
0.10935,0.0582403
0.1095,0.0581906
0.10965,0.0581409
0.1098,0.0580913
0.10995,0.0580416
0.1101,0.0579919
0.11025,0.0579422
0.1104,0.0578926
0.11055,0.0578429
0.1107,0.0577932
0.11085,0.0577436
0.111,0.0576939
0.11115,0.0576442
0.1113,0.0575945
0.11145,0.0575449
0.1116,0.0574952
0.11175,0.0574455
0.1119,0.0573958
0.11205,0.0573462
0.1122,0.0572965
0.11235,0.0572468
0.1125,0.0571971
0.11265,0.0571047
0.1128,0.0570122
0.11295,0.0569197
0.1131,0.0568272
0.11325,0.0567347
0.1134,0.0566422
0.11355,0.0565497
0.1137,0.0564573
0.11385,0.0563648
0.114,0.0562723
0.11415,0.0561798
0.1143,0.0560873
0.11445,0.0559948
0.1146,0.0559023
0.11475,0.0558098
0.1149,0.0557174
0.11505,0.0556249
0.1152,0.0555324
0.11535,0.0554399
0.1155,0.0553474
0.11565,0.0552549
0.1158,0.0551624
0.11595,0.05507
0.1161,0.0549775
0.11625,0.054885
0.1164,0.0547925
0.11655,0.0547
0.1167,0.0546075
0.11685,0.054515
0.117,0.0544225
0.11715,0.0543301
0.1173,0.0542198
0.11745,0.0541035
0.1176,0.0539873
0.11775,0.0538711
0.1179,0.0537548
0.11805,0.0536386
0.1182,0.0535224
0.11835,0.0534061
0.1185,0.0532899
0.11865,0.0531737
0.1188,0.0530574
0.11895,0.0529412
0.1191,0.052825
0.11925,0.0527087
0.1194,0.0525925
0.11955,0.0524763
0.1197,0.05236
0.11985,0.0522438
0.12,0.0521276
0.12015,0.0520113
0.1203,0.0518951
0.12045,0.0517789
0.1206,0.0516626
0.12075,0.0515464
0.1209,0.0514302
0.12105,0.0513139
0.1212,0.0511977
0.12135,0.0510815
0.1215,0.0509652
0.12165,0.050849
0.1218,0.0507328
0.12195,0.0506049
0.1221,0.0504654
0.12225,0.0503259
0.1224,0.0501864
0.12255,0.0500469
0.1227,0.0499074
0.12285,0.0497679
0.123,0.0496284
0.12315,0.0494889
0.1233,0.0493494
0.12345,0.0492098
0.1236,0.0490703
0.12375,0.0489308
0.1239,0.0487913
0.12405,0.0486518
0.1242,0.0485123
0.12435,0.0483728
0.1245,0.0482333
0.12465,0.0480938
0.1248,0.0479543
0.12495,0.0478148
0.1251,0.0476753
0.12525,0.0475358
0.1254,0.0473963
0.12555,0.0472568
0.1257,0.0471173
0.12585,0.0469778
0.126,0.0468383
0.12615,0.0466988
0.1263,0.0465592
0.12645,0.0464197
0.1266,0.04627
0.12675,0.0460895
0.1269,0.045909
0.12705,0.0457286
0.1272,0.0455481
0.12735,0.0453676
0.1275,0.0451871
0.12765,0.0450067
0.1278,0.0448262
0.12795,0.0446457
0.1281,0.0444652
0.12825,0.0442847
0.1284,0.0441043
0.12855,0.0439238
0.1287,0.0437433
0.12885,0.0435628
0.129,0.0433823
0.12915,0.0432019
0.1293,0.0430214
0.12945,0.0428409
0.1296,0.0426604
0.12975,0.04248
0.1299,0.0422995
0.13005,0.042119
0.1302,0.0419385
0.13035,0.041758
0.1305,0.0415776
0.13065,0.0413971
0.1308,0.0412166
0.13095,0.0410361
0.1311,0.0408556
0.13125,0.0406752
0.1314,0.0404327
0.13155,0.0401903
0.1317,0.0399479
0.13185,0.0397054
0.132,0.039463
0.13215,0.0392206
0.1323,0.0389781
0.13245,0.0387357
0.1326,0.0384933
0.13275,0.0382508
0.1329,0.0380084
0.13305,0.037766
0.1332,0.0375235
0.13335,0.0372811
0.1335,0.0370387
0.13365,0.0367962
0.1338,0.0365538
0.13395,0.0363114
0.1341,0.0360689
0.13425,0.0358265
0.1344,0.0355841
0.13455,0.0353416
0.1347,0.0350992
0.13485,0.0348568
0.135,0.0346143
0.13515,0.0343719
0.1353,0.0341295
0.13545,0.033887
0.1356,0.0336446
0.13575,0.0334022
0.1359,0.0331597
0.13605,0.0328627
0.1362,0.0325474
0.13635,0.0322322
0.1365,0.0319169
0.13665,0.0316017
0.1368,0.0312864
0.13695,0.0309712
0.1371,0.0306559
0.13725,0.0303406
0.1374,0.0300254
0.13755,0.0297102
0.1377,0.0293949
0.13785,0.0290797
0.138,0.0287644
0.13815,0.0284491
0.1383,0.0281339
0.13845,0.0278187
0.1386,0.0275034
0.13875,0.0271881
0.1389,0.0268729
0.13905,0.0265576
0.1392,0.0262424
0.13935,0.0259271
0.1395,0.0256119
0.13965,0.0252966
0.1398,0.0249814
0.13995,0.0246661
0.1401,0.0243509
0.14025,0.0240356
0.1404,0.0237204
0.14055,0.0234051
0.1407,0.0230559
0.14085,0.0226728
0.141,0.0222897
0.14115,0.0219066
0.1413,0.0215234
0.14145,0.0211403
0.1416,0.0207572
0.14175,0.0203741
0.1419,0.0199909
0.14205,0.0196078
0.1422,0.0192247
0.14235,0.0188415
0.1425,0.0184584
0.14265,0.0180753
0.1428,0.0176921
0.14295,0.017309
0.1431,0.0169259
0.14325,0.0165427
0.1434,0.0161596
0.14355,0.0157765
0.1437,0.0153933
0.14385,0.0150102
0.144,0.0146271
0.14415,0.014244
0.1443,0.0138608
0.14445,0.0134777
0.1446,0.0130946
0.14475,0.0127115
0.1449,0.0123283
0.14505,0.0119452
0.1452,0.0115621
0.14535,0.0111845
0.1455,0.0108237
0.14565,0.0104629
0.1458,0.0101022
0.14595,0.00974134
0.1461,0.00938056
0.14625,0.00901979
0.1464,0.00865897
0.14655,0.00829819
0.1467,0.00793741
0.14685,0.0075766
0.147,0.00721582
0.14715,0.00685504
0.1473,0.00649422
0.14745,0.00613345
0.1476,0.00577267
0.14775,0.00541185
0.1479,0.00505107
0.14805,0.00469029
0.1482,0.00432948
0.14835,0.0039687
0.1485,0.00360792
0.14865,0.00324711
0.1488,0.00288633
0.14895,0.00252555
0.1491,0.00216473
0.14925,0.00180395
0.1494,0.00144317
0.14955,0.00108236
0.1497,0.00072158
0.14985,0.000360801
0.15,nan
