ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,isoQ_average,isoQ_stddev,vortmag_average,vortmag_stddev,pressure_average,pressure_stddev,viscosity_average,viscosity_stddev,density_average,density_stddev,volfrac_average,volfrac_stddev,dpm_u_average,dpm_u_stddev,dpm_v_average,dpm_v_stddev,dpm_w_average,dpm_w_stddev,vtkGhostType_average,vtkGhostType_stddev,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.00351696,0.000525355,0.0135086,0.000868667,0.0466749,-0.0534992,0.0609553,-56.5482,54.1179,16.1472,5.06419,1928.51,6.29861,0.0169183,0.00456366,995.341,9.47862,1,0,-0.000309991,0.00358349,0.00024165,0.00258582,0.00504101,0.0211993,0,0,1,0.00405,0.00405,0.075,0.25,27,0
0.00364721,0.000544812,0.0140089,0.00090084,0.0484036,-0.0554807,0.0632129,-56.5042,54.0516,15.9492,4.95749,1928.51,6.29903,0.0167541,0.0044852,995.325,9.5081,1,0,-0.000322107,0.00369945,0.000251614,0.0026022,0.00508218,0.0211361,0,0,1,0.0042,0.0042,0.075,0.25,28,0
0.00377747,0.00056427,0.0145092,0.000933013,0.0501323,-0.0574621,0.0654705,-56.4602,53.9852,15.7511,4.8508,1928.5,6.29945,0.0165899,0.00440674,995.308,9.53758,1,0,-0.000334224,0.0038154,0.000261579,0.00261859,0.00512336,0.0210728,0,0,1,0.00435,0.00435,0.075,0.25,29,0
0.00390773,0.000583727,0.0150096,0.000965186,0.051861,-0.0594436,0.0677281,-56.4163,53.9189,15.5531,4.74411,1928.49,6.29986,0.0164258,0.00432827,995.292,9.56705,1,0,-0.00034634,0.00393136,0.000271543,0.00263498,0.00516454,0.0210096,0,0,1,0.0045,0.0045,0.075,0.25,30,0
0.00403799,0.000603185,0.0155099,0.000997359,0.0535897,-0.061425,0.0699857,-56.3723,53.8526,15.355,4.63741,1928.48,6.30028,0.0162616,0.00424981,995.276,9.59653,1,0,-0.000358456,0.00404732,0.000281507,0.00265136,0.00520572,0.0209463,0,0,1,0.00465,0.00465,0.075,0.25,31,0
0.00413615,0.000574274,0.016004,0.00102105,0.0542589,-0.0617092,0.0710776,-56.1594,53.9816,15.1614,4.59999,1928.46,6.30258,0.0160933,0.00421702,995.258,9.61384,1,0,-0.000361185,0.00408974,0.000287932,0.00265176,0.00523343,0.0209653,0,0,1,0.0048,0.0048,0.075,0.25,32,0
0.00422361,0.00052924,0.0164961,0.0010419,0.054575,-0.0614277,0.071781,-55.8902,54.1756,14.9693,4.58565,1928.44,6.30551,0.0159237,0.00419946,995.238,9.62709,1,0,-0.000360784,0.00410764,0.000293177,0.00264683,0.00525666,0.0210116,0,0,1,0.00495,0.00495,0.075,0.25,33,0
0.00431107,0.000484206,0.0169881,0.00106276,0.054891,-0.0611462,0.0724843,-55.6211,54.3696,14.7772,4.57131,1928.41,6.30844,0.0157541,0.0041819,995.219,9.64034,1,0,-0.000360384,0.00412554,0.000298422,0.0026419,0.00527989,0.021058,0,0,1,0.0051,0.0051,0.075,0.25,34,0
0.00439853,0.000439172,0.0174802,0.00108362,0.0552071,-0.0608647,0.0731877,-55.3519,54.5636,14.5851,4.55697,1928.39,6.31137,0.0155845,0.00416434,995.199,9.65359,1,0,-0.000359983,0.00414344,0.000303667,0.00263696,0.00530312,0.0211043,0,0,1,0.00525,0.00525,0.075,0.25,35,0
0.00448599,0.000394138,0.0179722,0.00110448,0.0555232,-0.0605831,0.0738911,-55.0828,54.7576,14.393,4.54264,1928.36,6.3143,0.0154148,0.00414678,995.18,9.66684,1,0,-0.000359582,0.00416134,0.000308912,0.00263203,0.00532635,0.0211506,0,0,1,0.0054,0.0054,0.075,0.25,36,0
