x_comp,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev
0.0246,-0.0130297,0.0758305,0.00855519,0.082864,0.0193726,0.174758
0.02475,-0.0131327,0.0760126,0.00841712,0.0827274,0.0203546,0.174988
0.0249,-0.0132358,0.0761948,0.00827905,0.0825909,0.0213366,0.175217
0.02505,-0.0133388,0.0763769,0.00814098,0.0824544,0.0223186,0.175447
0.0252,-0.0134419,0.0765591,0.00800291,0.0823179,0.0233007,0.175676
0.02535,-0.013545,0.0767412,0.00786484,0.0821813,0.0242827,0.175906
0.0255,-0.013648,0.0769234,0.00772677,0.0820448,0.0252647,0.176136
0.02565,-0.0137511,0.0771055,0.00758869,0.0819083,0.0262468,0.176365
0.0258,-0.0138541,0.0772877,0.00745062,0.0817717,0.0272288,0.176595
0.02595,-0.0139572,0.0774698,0.00731255,0.0816352,0.0282108,0.176824
0.0261,-0.0140603,0.077652,0.00717448,0.0814987,0.0291928,0.177054
0.02625,-0.0141633,0.0778341,0.00703641,0.0813621,0.0301749,0.177284
0.0264,-0.0142664,0.0780163,0.00689834,0.0812256,0.0311569,0.177513
0.02655,-0.0143694,0.0781984,0.00676026,0.0810891,0.0321389,0.177743
0.0267,-0.0144725,0.0783806,0.00662219,0.0809525,0.0331209,0.177972
0.02685,-0.0145756,0.0785627,0.00648412,0.080816,0.034103,0.178202
0.027,-0.0146786,0.0787448,0.00634605,0.0806795,0.035085,0.178432
0.02715,-0.0147817,0.078927,0.00620798,0.0805429,0.036067,0.178661
0.0273,-0.0148847,0.0791091,0.00606991,0.0804064,0.0370491,0.178891
0.02745,-0.0149878,0.0792913,0.00593184,0.0802699,0.0380311,0.17912
0.0276,-0.0150909,0.0794734,0.00579377,0.0801334,0.0390131,0.17935
0.02775,-0.0151939,0.0796556,0.00565569,0.0799968,0.0399951,0.179579
0.0279,-0.015297,0.0798377,0.00551762,0.0798603,0.0409772,0.179809
0.02805,-0.0154,0.0800199,0.00537955,0.0797238,0.0419592,0.180039
0.0282,-0.0155038,0.0801818,0.00525482,0.0795618,0.0429405,0.180222
0.02835,-0.0156083,0.0803235,0.00514343,0.0793743,0.043921,0.18036
0.0285,-0.0157129,0.0804652,0.00503204,0.0791869,0.0449015,0.180498
0.02865,-0.0158174,0.0806069,0.00492065,0.0789994,0.045882,0.180637
0.0288,-0.0159219,0.0807486,0.00480927,0.0788119,0.0468625,0.180775
0.02895,-0.0160264,0.0808903,0.00469788,0.0786245,0.0478431,0.180913
0.0291,-0.0161309,0.081032,0.00458649,0.078437,0.0488236,0.181051
0.02925,-0.0162354,0.0811738,0.0044751,0.0782496,0.0498041,0.181189
0.0294,-0.01634,0.0813155,0.00436371,0.0780621,0.0507846,0.181327
0.02955,-0.0164445,0.0814572,0.00425232,0.0778747,0.0517651,0.181465
0.0297,-0.016549,0.0815989,0.00414093,0.0776872,0.0527456,0.181603
0.02985,-0.0166535,0.0817406,0.00402954,0.0774998,0.0537261,0.181741
0.03,-0.016758,0.0818823,0.00391815,0.0773123,0.0547067,0.181879
0.03015,-0.0168626,0.082024,0.00380677,0.0771249,0.0556872,0.182017
0.0303,-0.0169671,0.0821657,0.00369538,0.0769374,0.0566677,0.182155
0.03045,-0.0170716,0.0823074,0.00358399,0.0767499,0.0576482,0.182293
0.0306,-0.0171761,0.0824491,0.0034726,0.0765625,0.0586287,0.182431
0.03075,-0.0172806,0.0825908,0.00336121,0.076375,0.0596092,0.182569
0.0309,-0.0173852,0.0827325,0.00324982,0.0761876,0.0605898,0.182707
0.03105,-0.0174897,0.0828742,0.00313843,0.0760001,0.0615703,0.182845
0.0312,-0.0175942,0.0830159,0.00302704,0.0758127,0.0625508,0.182983
0.03135,-0.0176987,0.0831577,0.00291565,0.0756252,0.0635313,0.183121
0.0315,-0.0178032,0.0832994,0.00280426,0.0754378,0.0645118,0.183259
0.03165,-0.0179078,0.0834411,0.00269288,0.0752503,0.0654923,0.183397
0.0318,-0.0180123,0.0835828,0.00258149,0.0750628,0.0664729,0.183535
0.03195,-0.0181168,0.0837245,0.0024701,0.0748754,0.0674534,0.183673
0.0321,-0.0182213,0.0838662,0.00235871,0.0746879,0.0684339,0.183811
0.03225,-0.0183258,0.0840079,0.00224732,0.0745005,0.0694144,0.183949
0.0324,-0.0184303,0.0841496,0.00213593,0.074313,0.0703949,0.184087
0.03255,-0.0185349,0.0842913,0.00202454,0.0741256,0.0713754,0.184225
0.0327,-0.0186394,0.084433,0.00191316,0.0739381,0.0723559,0.184363
0.03285,-0.0187524,0.0845646,0.00180671,0.0738131,0.0733059,0.184455
0.033,-0.0188909,0.0846656,0.0017151,0.0738756,0.0741641,0.184408
0.03315,-0.0190294,0.0847667,0.00162349,0.073938,0.0750223,0.184361
0.0333,-0.0191679,0.0848678,0.00153187,0.0740004,0.0758805,0.184314
0.03345,-0.0193064,0.0849688,0.00144026,0.0740629,0.0767388,0.184267
0.0336,-0.0194449,0.0850699,0.00134865,0.0741253,0.077597,0.18422
0.03375,-0.0195834,0.0851709,0.00125703,0.0741877,0.0784552,0.184173
0.0339,-0.0197219,0.085272,0.00116542,0.0742501,0.0793134,0.184127
0.03405,-0.0198605,0.0853731,0.00107381,0.0743126,0.0801716,0.18408
0.0342,-0.019999,0.0854741,0.000982195,0.074375,0.0810298,0.184033
0.03435,-0.0201375,0.0855752,0.000890583,0.0744374,0.0818881,0.183986
0.0345,-0.020276,0.0856763,0.000798971,0.0744999,0.0827463,0.183939
0.03465,-0.0204145,0.0857773,0.000707357,0.0745623,0.0836045,0.183892
0.0348,-0.020553,0.0858784,0.000615745,0.0746247,0.0844627,0.183845
0.03495,-0.0206915,0.0859794,0.000524133,0.0746872,0.0853209,0.183798
0.0351,-0.02083,0.0860805,0.000432519,0.0747496,0.0861792,0.183751
